City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
334,aberdeen,57.1437,-2.0981,17.59,94,75,4.63,GB,1696863028
335,nyala,12.05,24.8833,35.97,27,70,4.62,SD,1696863028
336,saint-francois,46.4154,3.9054,27.69,39,0,1.54,FR,1696863029
337,'ain el melh,34.8415,4.1638,25.03,30,11,2.22,DZ,1696863029
338,bucerias,20.75,-105.3333,27.77,100,100,1.54,MX,1696863029
339,adrar,20.5022,-10.0711,38.65,11,21,2.27,MR,1696863030
340,muravlenko,63.7898,74.523,6.68,86,93,9.02,RU,1696863030
341,noshiro,40.2039,140.0242,15.21,87,100,1.96,JP,1696863031
342,labuan bajo,-8.4964,119.8877,25.14,88,84,1.47,ID,1696863032
343,badger,64.8,-147.5333,-1.07,82,100,2.57,US,1696863032
344,kuqa,41.7278,82.9364,19.61,35,100,2.36,CN,1696863033
345,yazd,31.8972,54.3675,31.06,11,0,1.03,IR,1696863033
346,codrington,-38.2667,141.9667,9.43,76,92,1.13,AU,1696863033
347,katabu,-4.9333,122.5167,22.7,90,70,2.04,ID,1696863034
348,bardai,11.65,7.2333,33.4,27,24,3.88,NG,1696863034
349,new ross,52.3967,-6.9367,21.77,78,99,2.77,IE,1696863035
350,midvagur,62.0511,-7.1939,9.46,71,100,5.66,FO,1696863035
351,tshabong,-26.05,22.45,34.88,7,95,7.24,BW,1696863036
352,mejit,10.2753,170.8646,27.91,77,89,4.34,MH,1696863036
353,jining,35.405,116.5814,15.61,45,70,2.8,CN,1696863037
354,rio de janeiro,-22.9028,-43.2075,26.97,87,75,4.12,BR,1696862403
355,bonthe,7.5264,-12.505,24.1,93,100,3.22,SL,1696863039
356,as sulayyil,20.4607,45.5779,37.14,17,1,4.62,SA,1696863039
357,kavalerovo,44.2661,135.0572,8.64,87,24,1.79,RU,1696863040
358,pekan,3.4836,103.3996,28.06,84,18,2.07,MY,1696863040
359,tralee,52.2704,-9.7026,22.14,60,0,1.03,IE,1696863035
360,tumayr,25.7039,45.868,33.11,12,0,3.92,SA,1696863041
